Kentavious Caldwell-Pope\caldwke01,SG,27,LAL,34,34,26.2,2.9,6.8,.435,1.5,3.8,.395,1.4,3.0,.485,.546,1.2,1.4,.857,0.5,2.0,2.4,1.4,0.8,0.3,1.0,1.6,8.6
Garrett Temple\templga01,SG,34,CHI,35,12,27.9,3.1,7.4,.425,1.3,3.8,.343,1.8,3.6,.512,.514,0.9,1.1,.816,0.6,2.6,3.1,2.0,0.9,0.5,1.0,2.3,8.5
Robert Covington\covinro01,PF,30,POR,36,36,32.2,2.9,7.5,.391,1.9,5.2,.356,1.1,2.3,.470,.515,0.7,0.8,.828,0.8,5.8,6.6,1.8,1.6,1.2,1.2,2.6,8.4
Steven Adams\adamsst01,C,27,NOP,36,36,27.4,3.6,5.7,.629,0.0,0.1,.000,3.6,5.6,.635,.629,1.1,2.4,.459,4.0,5.2,9.2,2.0,0.9,0.6,1.5,1.8,8.3
Nickeil Alexander-Walker\alexani01,SG,22,NOP,31,3,17.7,3.1,7.6,.409,1.0,3.5,.299,2.1,4.2,.500,.477,1.0,1.2,.816,0.2,2.4,2.5,1.9,0.9,0.3,1.2,1.6,8.3
Patrick Beverley\beverpa01,PG,32,LAC,29,29,23.8,2.8,6.2,.442,1.7,4.1,.420,1.0,2.1,.484,.580,1.1,1.3,.795,0.9,2.8,3.7,2.1,0.9,0.8,0.9,3.1,8.3
Bruce Brown\brownbr01,PG,24,BRK,35,22,21.0,3.5,6.2,.560,0.3,1.0,.257,3.2,5.2,.619,.581,1.1,1.6,.709,1.5,3.0,4.5,1.4,0.7,0.3,0.8,2.1,8.3
Taurean Prince\princta02,PF,26,TOT,29,10,21.4,2.7,7.2,.380,1.3,3.5,.386,1.4,3.7,.374,.474,1.6,1.8,.849,0.5,3.1,3.6,1.7,0.7,0.7,1.1,1.8,8.3
Landry Shamet\shamela01,SG,23,BRK,35,0,20.1,2.7,6.7,.402,1.9,5.0,.385,0.8,1.7,.450,.545,1.0,1.2,.854,0.2,1.7,1.9,1.1,0.4,0.1,0.7,1.3,8.3
Dorian Finney-Smith\finnedo01,PF,27,DAL,28,28,31.5,3.0,7.1,.420,1.6,4.8,.343,1.4,2.4,.576,.535,0.5,0.6,.882,1.4,4.0,5.4,1.4,0.9,0.4,0.6,2.6,8.2
Ricky Rubio\rubiori01,PG,30,MIN,37,22,25.7,2.7,6.9,.387,0.8,2.4,.311,1.9,4.5,.428,.441,2.1,2.5,.846,0.4,2.8,3.2,6.5,1.2,0.0,2.1,2.2,8.2
Robin Lopez\lopezro01,C,32,WAS,37,9,20.4,3.2,5.5,.584,0.1,0.4,.286,3.1,5.1,.606,.594,1.6,2.3,.714,2.2,2.0,4.2,0.9,0.3,0.6,1.1,1.9,8.1
Anfernee Simons\simonan01,SG,21,POR,35,0,16.7,2.7,6.9,.398,2.0,4.8,.408,0.8,2.1,.375,.541,0.7,0.8,.821,0.2,2.1,2.4,1.4,0.2,0.1,0.8,1.7,8.1
Ivica Zubac\zubaciv01,C,23,LAC,40,1,19.6,3.1,4.8,.647,0.0,0.1,.000,3.1,4.7,.654,.647,1.9,2.4,.819,2.4,4.5,6.9,1.1,0.4,0.8,1.0,2.5,8.1
Tyus Jones\jonesty01,PG,24,MEM,35,8,21.0,3.4,7.6,.444,0.7,2.5,.295,2.6,5.1,.517,.492,0.5,0.6,.864,0.4,1.9,2.4,4.4,1.2,0.1,0.9,0.5,8.0
Derrick Jones Jr.\jonesde02,SF,23,POR,34,33,26.6,2.9,5.8,.500,0.8,2.5,.329,2.1,3.3,.628,.571,1.3,2.0,.657,1.7,2.9,4.6,0.9,0.8,1.0,0.7,2.4,7.9
Théo Maledon\maledth01,PG,19,OKC,33,18,26.1,2.8,7.1,.402,1.5,4.1,.370,1.3,3.0,.444,.509,0.7,1.0,.706,0.2,2.8,3.0,3.5,0.9,0.1,1.9,2.4,7.9
Raul Neto\netora01,PG,28,WAS,32,6,20.7,3.0,6.9,.436,1.0,2.6,.393,2.0,4.3,.463,.511,0.9,1.1,.824,0.4,1.8,2.3,2.3,1.1,0.1,0.8,1.4,7.9
Tristan Thompson\thomptr01,PF,29,BOS,36,31,22.5,3.3,6.2,.534,0.0,0.1,.000,3.3,6.1,.541,.534,1.3,2.2,.600,3.1,5.3,8.4,1.0,0.4,0.4,1.0,2.1,7.9
